timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,
1.46875,14.78012681,10.97429809,7.617939525,3.59758102,1.158357844,11.86402697,13.42381423,15.09040916,18.21173796,17.36202665,,,,,,,,,,,,,,,,,,,
1.479166667,15.17083283,11.57444079,8.34558302,4.367074376,1.667449593,11.79577164,13.30092263,14.93962734,18.18178174,17.25543772,,,,,,,,,,,,,,,,,,,
1.489583333,15.4524066,12.0212814,8.938052798,5.041488055,2.195003669,11.75555651,13.22404831,14.84020857,18.16108013,17.18054848,,,,,,,,,,,,,,,,,,,
1.5,15.69029005,12.36199713,9.409400004,5.614316116,2.708466579,11.72478132,13.17299213,14.77229647,18.14727763,17.13150486,,,,,,,,,,,,,,,,,,,
1.510416667,16.10766799,12.72145272,9.825454915,6.124088953,3.210048776,11.67124234,13.1250866,14.71934033,18.1362905,17.09241116,,,,,,,,,,,,,,,,,,,
1.520833333,16.43376734,13.07462306,10.20209657,6.554972821,3.659123151,11.63026403,13.08099236,14.67689078,18.12868365,17.06395087,,,,,,,,,,,,,,,,,,,
1.53125,16.70097976,13.38763165,10.54534259,6.931120297,4.056521808,11.59910035,13.0449376,14.64128108,18.12229164,17.04111275,,,,,,,,,,,,,,,,,,,
1.541666667,16.93099234,13.65963076,10.85295625,7.263793963,4.408053435,11.57235766,13.01520347,14.61112895,18.11723237,17.02300045,,,,,,,,,,,,,,,,,,,
1.552083333,17.05616466,13.78286121,11.0200744,7.440880059,4.621153773,11.5640754,13.00409599,14.59536469,18.11945899,17.00924193,,,,,,,,,,,,,,,,,,,
1.5625,17.17160669,13.89556413,11.15708798,7.594569107,4.79850046,11.55585963,12.99627104,14.58392742,18.11632257,16.99836476,,,,,,,,,,,,,,,,,,,
1.572916667,17.28117656,14.0053137,11.27814432,7.724899391,4.945466213,11.54443,12.98655116,14.57347728,18.11410096,16.98892319,,,,,,,,,,,,,,,,,,,
1.5833333,17.37900637,14.10874067,11.38859929,7.837763129,5.067788885,11.53076235,12.9753973,14.5631842,18.11124118,16.98019102,,,,,,,,,,,,,,,,,,,
1.59375,17.03351144,13.97797118,11.35238474,7.799050698,5.058933112,11.55564541,12.98173493,14.56192741,18.11708692,16.97394301,,,,,,,,,,,,,,,,,,,
1.604166667,16.82454423,13.77639507,11.24953315,7.742175038,5.030117499,11.57727532,12.99589546,14.56474037,18.11516171,16.9684172,,,,,,,,,,,,,,,,,,,
